device_id,ts,seq,rssi,reading,val
412222,1654301066,3382,-129,hum,86
412222,1654301966,3382,-129,temp,14.2
412222,1654301966,3382,-129,hum,86
412222,1654302866,3382,-129,temp,14.2
412222,1654302866,3382,-129,hum,86
412222,1654317267,3384,-128,temp,14.4
412222,1654317267,3384,-128,hum,87
412222,1654318167,3384,-128,temp,14.4
412222,1654318167,3384,-128,hum,87
412222,1654319067,3384,-128,temp,14.3
412222,1654319067,3384,-128,hum,87
412222,1654319967,3384,-128,temp,14.3
412222,1654319967,3384,-128,hum,87
412222,1654320867,3384,-128,temp,14.3
412222,1654320867,3384,-128,hum,87
412222,1654321767,3384,-128,temp,14.3
412222,1654321767,3384,-128,hum,87
412222,1654322667,3384,-128,temp,14.3
412222,1654322667,3384,-128,hum,87
412222,1654323567,3384,-128,temp,14.3
412222,1654323567,3384,-128,hum,86
412222,1654324467,3384,-128,temp,14.3
412222,1654324467,3384,-128,hum,86
412222,1654325367,3384,-128,temp,14.2
412222,1654325367,3384,-128,hum,87
412222,1654326267,3384,-128,temp,14.2
412222,1654326267,3384,-128,hum,87
412222,1654327167,3384,-128,temp,14.2
412222,1654327167,3384,-128,hum,87
412222,1654328067,3384,-128,temp,14.1
412222,1654328067,3384,-128,hum,87
412222,1654342468,3386,-131,temp,13.8
412222,1654342468,3386,-131,hum,86
412222,1654343368,3386,-131,temp,13.8
412222,1654343368,3386,-131,hum,86
412222,1654344268,3386,-131,temp,13.8
412222,1654344268,3386,-131,hum,86
412222,1654345168,3386,-131,temp,13.7
412222,1654345168,3386,-131,hum,86
412222,1654346068,3386,-131,temp,13.7
412222,1654346068,3386,-131,hum,86
412222,1654346968,3386,-131,temp,13.7
412222,1654346968,3386,-131,hum,86
412222,1654347868,3386,-131,temp,13.7
412222,1654347868,3386,-131,hum,86
412222,1654348768,3386,-131,temp,13.7
412222,1654348768,3386,-131,hum,86
412222,1654349668,3386,-131,temp,13.7
412222,1654349668,3386,-131,hum,85
412222,1654350568,3386,-131,temp,13.7
412222,1654350568,3386,-131,hum,85
412222,1654351468,3386,-131,temp,13.6
412222,1654351468,3386,-131,hum,85
412222,1654364068,3388,-129,temp,13.1
412222,1654364068,3388,-129,hum,84
412222,1654364968,3388,-129,temp,13.1
412222,1654364968,3388,-129,hum,84
412222,1654365868,3388,-129,temp,13.1
412222,1654365868,3388,-129,hum,84
412222,1654366768,3388,-129,temp,13.0
412222,1654366768,3388,-129,hum,84
412222,1654367668,3388,-129,temp,12.9
412222,1654367668,3388,-129,hum,84
412222,1654368568,3388,-129,temp,12.9
412222,1654368568,3388,-129,hum,84
412222,1654369468,3388,-129,temp,12.9
412222,1654369468,3388,-129,hum,84
412222,1654370368,3388,-129,temp,12.9
412222,1654370368,3388,-129,hum,84
412222,1654371268,3388,-129,temp,12.8
412222,1654371268,3388,-129,hum,84
412222,1654372168,3388,-129,temp,12.8
412222,1654372168,3388,-129,hum,84
412222,1654373068,3388,-129,temp,12.8
412222,1654373068,3388,-129,hum,84
412222,1654373968,3388,-129,temp,12.7
412222,1654373968,3388,-129,hum,84
412222,1654374868,3388,-129,temp,12.7
412222,1654374868,3388,-129,hum,84
412222,1654375768,3388,-129,temp,12.7
412222,1654375768,3388,-129,hum,85
412222,1654376668,3388,-129,temp,12.6
412222,1654376668,3388,-129,hum,85
412222,1654425270,3392,-134,temp,13.7
412222,1654425270,3392,-134,hum,88
412222,1654426170,3392,-134,temp,13.7
412222,1654426170,3392,-134,hum,88
412222,1654427070,3392,-134,temp,13.7
412222,1654427070,3392,-134,hum,88
412222,1654427970,3392,-134,temp,13.7
412222,1654427970,3392,-134,hum,88
412222,1654428870,3392,-134,temp,13.7
